epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,13667.4,0.50918,0.30876,0.85117,0.92986,0.76749,0.83988,0.65337,0.97604,0.56809,1.03797,0.002674,0.002674,0.002674
76,13848.6,0.50139,0.3058,0.84814,0.92762,0.77024,0.84027,0.65108,0.97088,0.56896,1.03965,0.002575,0.002575,0.002575
77,14029.6,0.50156,0.30687,0.8483,0.93207,0.76889,0.8411,0.65454,0.96452,0.56965,1.04094,0.002476,0.002476,0.002476
78,14211.1,0.49916,0.30405,0.84731,0.92585,0.77735,0.84528,0.65363,0.96751,0.56952,1.03839,0.002377,0.002377,0.002377
79,14392.3,0.49498,0.29922,0.84671,0.90876,0.78512,0.84485,0.65185,0.96911,0.55944,1.03612,0.002278,0.002278,0.002278
80,14574,0.49331,0.30017,0.84662,0.90562,0.7952,0.84644,0.65146,0.9693,0.56176,1.03109,0.002179,0.002179,0.002179
81,14755.3,0.48671,0.2957,0.84441,0.91626,0.78817,0.84429,0.65472,0.95921,0.55969,1.02773,0.00208,0.00208,0.00208
82,14936.8,0.48318,0.29338,0.8425,0.92206,0.78327,0.84387,0.65297,0.95984,0.5588,1.0279,0.001981,0.001981,0.001981
83,15118,0.47859,0.29287,0.84229,0.92252,0.78739,0.84434,0.65254,0.95661,0.55477,1.02679,0.001882,0.001882,0.001882
84,15301.6,0.47743,0.28954,0.84158,0.93937,0.7744,0.84346,0.65157,0.96239,0.56118,1.0336,0.001783,0.001783,0.001783
85,15483,0.47315,0.28785,0.83915,0.93211,0.77972,0.84255,0.65373,0.95318,0.55983,1.02995,0.001684,0.001684,0.001684
86,15666.2,0.4729,0.28971,0.84031,0.93519,0.77386,0.84194,0.65515,0.95136,0.56623,1.03156,0.001585,0.001585,0.001585
87,15850.1,0.46703,0.28455,0.84001,0.93885,0.77269,0.84389,0.65817,0.94908,0.5658,1.02922,0.001486,0.001486,0.001486
88,16032.8,0.46613,0.28311,0.8372,0.93282,0.77615,0.84445,0.65639,0.95342,0.5661,1.03271,0.001387,0.001387,0.001387
89,16216.8,0.45938,0.27833,0.83556,0.93598,0.77582,0.84457,0.65669,0.95165,0.56213,1.03295,0.001288,0.001288,0.001288
90,16398.2,0.45709,0.27939,0.83726,0.93052,0.77725,0.84333,0.65717,0.94671,0.55893,1.03254,0.001189,0.001189,0.001189
91,16579.7,0.44738,0.26149,0.8279,0.94383,0.77036,0.84565,0.65769,0.94848,0.55611,1.02997,0.00109,0.00109,0.00109
92,16761.3,0.43153,0.25482,0.82425,0.94359,0.77292,0.84599,0.65917,0.95047,0.5566,1.02898,0.000991,0.000991,0.000991
93,16944.1,0.42627,0.25325,0.82061,0.94411,0.77433,0.84638,0.6601,0.94916,0.5593,1.0275,0.000892,0.000892,0.000892
94,17124.9,0.42,0.2487,0.82071,0.9339,0.77824,0.8475,0.66299,0.94502,0.55893,1.02777,0.000793,0.000793,0.000793
95,17304.7,0.41755,0.24709,0.82049,0.93566,0.77701,0.84756,0.66182,0.94449,0.55805,1.02869,0.000694,0.000694,0.000694
96,17484.3,0.41113,0.24502,0.81866,0.94485,0.77158,0.84585,0.66203,0.94418,0.55819,1.02886,0.000595,0.000595,0.000595
97,17663.9,0.40751,0.24301,0.81627,0.94439,0.7727,0.84583,0.66139,0.9456,0.55651,1.02979,0.000496,0.000496,0.000496
98,17843.2,0.40005,0.23866,0.81612,0.94481,0.77322,0.84679,0.66205,0.94771,0.55388,1.02978,0.000397,0.000397,0.000397
99,18022.7,0.39763,0.23651,0.81507,0.94056,0.77538,0.84716,0.66356,0.94704,0.55331,1.02958,0.000298,0.000298,0.000298
100,18202.9,0.39325,0.23535,0.81516,0.93981,0.77481,0.8474,0.66414,0.9475,0.55374,1.02949,0.000199,0.000199,0.000199
